months,rows,vol_min,trend_max,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
10,29146,0.006,0.3,20,2.2,11.448087,38.18,462,59.31,0.731,5.505710337954042
10,29146,0.006,0.3,20,2.0,9.174823,49.14,544,58.09,0.5828,5.505710337954042
10,29146,0.006,0.3,16,2.2,6.707652,42.82,503,57.65,0.5646,5.505710337954042
10,29146,0.006,0.3,16,2.0,6.336201,50.26,628,55.73,0.4473,5.505710337954042
10,29146,0.006,0.3,12,2.0,2.713042,54.43,751,55.79,0.2439,5.505710337954042
10,29146,0.006,0.3,20,2.4,2.423916,32.89,367,58.86,0.3345,5.505710337954042
10,29146,0.006,0.3,16,2.4,2.196606,33.04,383,56.14,0.3506,5.505710337954042
10,29146,0.006,0.3,20,2.6,1.293722,39.73,273,57.51,0.1203,5.505710337954042
10,29146,0.006,0.3,12,2.4,1.250609,38.23,359,53.2,0.2068,5.505710337954042
10,29146,0.006,0.3,12,2.2,1.137907,53.3,551,52.63,0.1257,5.505710337954042
10,29146,0.006,0.3,20,3.0,1.056368,17.01,137,54.74,0.0613,5.505710337954042
10,29146,0.006,0.3,12,3.0,0.904724,20.31,26,46.15,-0.3441,5.505710337954042
10,29146,0.006,0.3,16,3.0,0.894706,19.63,93,48.39,-0.0936,5.505710337954042
10,29146,0.006,0.3,16,2.6,0.881386,29.78,276,54.71,-0.0181,5.505710337954042
10,29146,0.006,0.3,12,2.6,0.495212,52.51,197,49.24,-0.3321,5.505710337954042
8,23214,0.006,0.25,20,2.2,5.442853,38.18,360,59.72,0.6092,5.67356406032964
8,23214,0.006,0.25,20,2.0,4.655089,49.14,431,58.47,0.4753,5.67356406032964
8,23214,0.006,0.25,16,2.2,3.61972,42.82,394,58.12,0.4532,5.67356406032964
8,23214,0.006,0.25,16,2.0,2.816772,50.26,495,55.15,0.3149,5.67356406032964
8,23214,0.006,0.25,20,2.4,2.705443,31.88,287,59.93,0.4604,5.67356406032964
8,23214,0.006,0.25,20,2.6,1.381983,42.79,211,58.29,0.1813,5.67356406032964
8,23214,0.006,0.25,12,2.0,1.379505,53.27,585,55.73,0.1195,5.67356406032964
8,23214,0.006,0.25,20,3.0,1.018011,22.88,109,54.13,0.0376,5.67356406032964
8,23214,0.006,0.25,16,2.4,0.996618,40.36,295,55.25,0.0304,5.67356406032964
8,23214,0.006,0.25,12,3.0,0.907775,14.52,17,47.06,-0.5227,5.67356406032964
8,23214,0.006,0.25,16,2.6,0.859647,37.12,214,54.21,-0.0402,5.67356406032964
8,23214,0.006,0.25,16,3.0,0.815215,21.36,70,45.71,-0.2661,5.67356406032964
8,23214,0.006,0.25,12,2.2,0.648824,60.67,428,52.8,-0.0746,5.67356406032964
8,23214,0.006,0.25,12,2.4,0.621189,47.18,282,53.9,-0.1421,5.67356406032964
8,23214,0.006,0.25,12,2.6,0.550738,45.56,154,50.65,-0.3602,5.67356406032964
5,14670,0.006,0.2,20,2.2,1.658411,38.18,219,58.9,0.3027,2.892476459390393
5,14670,0.006,0.2,20,2.0,1.490792,49.14,267,58.05,0.2128,2.892476459390393
5,14670,0.006,0.2,16,2.2,1.452291,42.82,238,57.98,0.2281,2.892476459390393
5,14670,0.006,0.2,16,2.0,1.313603,50.26,306,55.88,0.1466,2.892476459390393
5,14670,0.006,0.2,20,3.0,1.085563,13.25,69,55.07,0.1368,2.892476459390393
5,14670,0.006,0.2,12,3.0,0.985436,4.56,13,46.15,-0.0995,2.892476459390393
5,14670,0.006,0.2,16,3.0,0.971785,11.95,46,45.65,-0.042,2.892476459390393
5,14670,0.006,0.2,20,2.4,0.923839,31.88,172,58.14,-0.0395,2.892476459390393
5,14670,0.006,0.2,16,2.6,0.895636,29.64,130,53.85,-0.0609,2.892476459390393
5,14670,0.006,0.2,20,2.6,0.895371,26.48,132,54.55,-0.066,2.892476459390393
5,14670,0.006,0.2,16,2.4,0.825676,33.04,176,55.11,-0.0868,2.892476459390393
5,14670,0.006,0.2,12,2.4,0.813847,33.49,171,56.73,-0.0991,2.892476459390393
5,14670,0.006,0.2,12,2.6,0.808347,32.28,98,53.06,-0.1931,2.892476459390393
5,14670,0.006,0.2,12,2.0,0.672954,53.27,367,56.95,-0.098,2.892476459390393
5,14670,0.006,0.2,12,2.2,0.635905,47.48,267,54.31,-0.1514,2.892476459390393
4,11788,0.008,0.3,20,2.0,26.405512,21.55,226,60.62,9.2471,1.10246224391681
4,11788,0.008,0.3,12,2.0,17.349679,29.9,317,55.52,6.4803,1.10246224391681
4,11788,0.008,0.3,12,2.2,13.801297,36.8,234,50.85,8.6752,1.10246224391681
4,11694,0.006,0.15,20,2.0,1.482532,21.29,208,62.98,0.1939,4.9671283856352275
4,11694,0.006,0.15,20,2.2,1.414132,17.03,172,63.37,0.2036,4.9671283856352275
4,11694,0.006,0.15,16,2.2,1.348898,19.5,188,61.7,0.1654,4.9671283856352275
4,11694,0.006,0.15,16,2.0,1.302801,26.19,237,58.65,0.1179,4.9671283856352275
4,11788,0.008,0.3,20,2.2,1.277392,17.61,192,60.94,0.1705,1.10246224391681
4,11694,0.006,0.15,20,2.4,1.240953,16.97,138,60.87,0.154,4.9671283856352275
4,11788,0.008,0.3,20,2.6,1.240883,15.42,124,62.1,0.197,1.10246224391681
4,11788,0.008,0.3,20,3.0,1.240267,9.12,61,63.93,0.3746,1.10246224391681
4,11788,0.008,0.3,20,2.4,1.220253,17.77,156,60.9,0.15,1.10246224391681
4,11694,0.006,0.15,20,3.0,1.186615,6.76,57,57.89,0.3088,4.9671283856352275
4,11694,0.006,0.15,16,2.6,1.176256,14.0,103,54.37,0.1739,4.9671283856352275
4,11788,0.008,0.3,16,2.0,1.156271,26.43,265,56.6,0.0869,1.10246224391681
4,11694,0.006,0.15,20,2.6,1.115805,13.52,106,57.55,0.1149,4.9671283856352275
4,11694,0.006,0.15,16,2.4,1.106411,20.47,142,56.34,0.087,4.9671283856352275
4,11694,0.006,0.15,12,2.0,1.099869,23.62,294,59.86,0.0386,4.9671283856352275
4,11694,0.006,0.15,12,2.4,1.069801,12.38,132,56.82,0.0664,4.9671283856352275
4,11694,0.006,0.15,16,3.0,1.020724,8.16,38,44.74,0.0661,4.9671283856352275
4,11694,0.006,0.15,12,2.6,1.015849,14.89,80,55.0,0.0367,4.9671283856352275
4,11694,0.006,0.15,12,3.0,0.970411,4.56,12,41.67,-0.2368,4.9671283856352275
4,11788,0.008,0.3,16,3.0,0.962106,18.45,40,47.5,-0.0697,1.10246224391681
4,11694,0.006,0.15,12,2.2,0.930418,23.15,207,56.52,-0.0206,4.9671283856352275
4,11788,0.008,0.3,16,2.6,0.907517,23.12,124,54.84,-0.0571,1.10246224391681
4,11788,0.008,0.3,16,2.4,0.892018,25.36,167,56.89,-0.0433,1.10246224391681
4,11788,0.008,0.3,12,3.0,0.857914,19.9,15,46.67,-0.9542,1.10246224391681
4,11788,0.008,0.3,16,2.2,0.854633,22.61,209,56.94,-0.04,1.10246224391681
4,11788,0.008,0.3,12,2.4,0.741223,33.97,149,50.34,-0.1672,1.10246224391681
4,11788,0.008,0.3,12,2.6,0.712714,38.58,87,44.83,-0.3677,1.10246224391681
2,5856,0.008,0.25,20,2.0,1.505168,21.29,113,65.49,0.3873,1.1360732368788473
2,5856,0.01,0.25,20,2.0,1.505168,21.29,113,65.49,0.3873,1.1360732368788473
2,5856,0.01,0.3,20,2.0,1.505168,21.29,113,65.49,0.3873,1.1360732368788473
2,5856,0.008,0.25,20,2.2,1.354026,17.03,90,64.44,0.3663,1.1360732368788473
2,5856,0.01,0.25,20,2.2,1.354026,17.03,90,64.44,0.3663,1.1360732368788473
2,5856,0.01,0.3,20,2.2,1.354026,17.03,90,64.44,0.3663,1.1360732368788473
2,5856,0.008,0.25,20,2.4,1.352517,16.97,76,67.11,0.422,1.1360732368788473
2,5856,0.01,0.25,20,2.4,1.352517,16.97,76,67.11,0.422,1.1360732368788473
2,5856,0.01,0.3,20,2.4,1.352517,16.97,76,67.11,0.422,1.1360732368788473
2,5856,0.008,0.25,20,2.6,1.316329,13.52,62,69.35,0.4707,1.1360732368788473
2,5856,0.01,0.25,20,2.6,1.316329,13.52,62,69.35,0.4707,1.1360732368788473
2,5856,0.01,0.3,20,2.6,1.316329,13.52,62,69.35,0.4707,1.1360732368788473
2,5856,0.008,0.25,16,2.0,1.264263,26.43,132,56.06,0.1992,1.1360732368788473
2,5856,0.01,0.25,16,2.0,1.264263,26.43,132,56.06,0.1992,1.1360732368788473
2,5856,0.01,0.3,16,2.0,1.264263,26.43,132,56.06,0.1992,1.1360732368788473
2,5856,0.008,0.25,20,3.0,1.186928,6.42,33,69.7,0.5417,1.1360732368788473
2,5856,0.01,0.25,20,3.0,1.186928,6.42,33,69.7,0.5417,1.1360732368788473
2,5856,0.01,0.3,20,3.0,1.186928,6.42,33,69.7,0.5417,1.1360732368788473
2,5856,0.008,0.25,16,2.2,1.095721,20.55,100,59.0,0.1114,1.1360732368788473
2,5856,0.01,0.25,16,2.2,1.095721,20.55,100,59.0,0.1114,1.1360732368788473
2,5856,0.01,0.3,16,2.2,1.095721,20.55,100,59.0,0.1114,1.1360732368788473
2,5856,0.008,0.25,12,2.0,1.004569,28.53,151,55.63,0.0226,1.1360732368788473
2,5856,0.01,0.25,12,2.0,1.004569,28.53,151,55.63,0.0226,1.1360732368788473
2,5856,0.01,0.3,12,2.0,1.004569,28.53,151,55.63,0.0226,1.1360732368788473
2,5856,0.008,0.25,16,2.4,0.961537,22.97,79,55.7,-0.0266,1.1360732368788473
2,5856,0.01,0.25,16,2.4,0.961537,22.97,79,55.7,-0.0266,1.1360732368788473
2,5856,0.01,0.3,16,2.4,0.961537,22.97,79,55.7,-0.0266,1.1360732368788473
2,5856,0.008,0.25,16,2.6,0.91804,23.12,61,54.1,-0.1167,1.1360732368788473
2,5856,0.01,0.25,16,2.6,0.91804,23.12,61,54.1,-0.1167,1.1360732368788473
2,5856,0.01,0.3,16,2.6,0.91804,23.12,61,54.1,-0.1167,1.1360732368788473
2,5856,0.008,0.25,12,3.0,0.876878,14.52,5,40.0,-2.4914,1.1360732368788473
2,5856,0.01,0.25,12,3.0,0.876878,14.52,5,40.0,-2.4914,1.1360732368788473
2,5856,0.01,0.3,12,3.0,0.876878,14.52,5,40.0,-2.4914,1.1360732368788473
2,5856,0.008,0.25,16,3.0,0.86837,17.36,17,35.29,-0.801,1.1360732368788473
2,5856,0.01,0.25,16,3.0,0.86837,17.36,17,35.29,-0.801,1.1360732368788473
2,5856,0.01,0.3,16,3.0,0.86837,17.36,17,35.29,-0.801,1.1360732368788473
2,5856,0.008,0.25,12,2.2,0.865611,36.8,111,49.55,-0.1104,1.1360732368788473
2,5856,0.01,0.25,12,2.2,0.865611,36.8,111,49.55,-0.1104,1.1360732368788473
2,5856,0.01,0.3,12,2.2,0.865611,36.8,111,49.55,-0.1104,1.1360732368788473
2,5856,0.008,0.25,12,2.4,0.859108,28.71,72,50.0,-0.1886,1.1360732368788473
2,5856,0.01,0.25,12,2.4,0.859108,28.71,72,50.0,-0.1886,1.1360732368788473
2,5856,0.01,0.3,12,2.4,0.859108,28.71,72,50.0,-0.1886,1.1360732368788473
2,5856,0.008,0.25,12,2.6,0.807426,27.44,43,44.19,-0.4707,1.1360732368788473
2,5856,0.01,0.25,12,2.6,0.807426,27.44,43,44.19,-0.4707,1.1360732368788473
2,5856,0.01,0.3,12,2.6,0.807426,27.44,43,44.19,-0.4707,1.1360732368788473
1,2880,0.012,0.25,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
1,2880,0.012,0.3,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
1,2880,0.012,0.25,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
1,2880,0.012,0.3,20,2.4,1.400095,10.26,41,78.05,0.8521,1.0888296078251003
1,2880,0.012,0.25,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
1,2880,0.012,0.3,20,2.2,1.372599,7.76,47,70.21,0.718,1.0888296078251003
1,2880,0.012,0.25,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
1,2880,0.012,0.3,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
1,2880,0.012,0.25,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
1,2880,0.012,0.3,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
1,2880,0.012,0.25,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
1,2880,0.012,0.3,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
1,2880,0.012,0.25,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
1,2880,0.012,0.3,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
1,2880,0.012,0.25,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
1,2880,0.012,0.3,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
1,2880,0.012,0.25,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
1,2880,0.012,0.3,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
1,2976,0.008,0.15,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.008,0.2,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.01,0.15,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.01,0.2,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.008,0.15,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2976,0.008,0.2,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2976,0.01,0.15,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2976,0.01,0.2,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2880,0.012,0.25,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
1,2880,0.012,0.3,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
1,2976,0.008,0.15,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2976,0.008,0.2,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2976,0.01,0.15,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2976,0.01,0.2,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2880,0.012,0.25,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
1,2880,0.012,0.3,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
1,2976,0.008,0.15,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.008,0.2,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.01,0.15,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.01,0.2,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.008,0.15,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.008,0.2,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.01,0.15,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.01,0.2,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.008,0.15,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.008,0.2,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.01,0.15,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.01,0.2,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.008,0.15,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.008,0.2,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.01,0.15,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.01,0.2,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.008,0.15,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2976,0.008,0.2,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2976,0.01,0.15,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2976,0.01,0.2,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2880,0.012,0.25,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
1,2880,0.012,0.3,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
1,2976,0.008,0.15,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.008,0.2,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.01,0.15,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.01,0.2,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.008,0.15,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2976,0.008,0.2,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2976,0.01,0.15,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2976,0.01,0.2,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2880,0.012,0.25,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
1,2880,0.012,0.3,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
1,2976,0.008,0.15,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2976,0.008,0.2,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2976,0.01,0.15,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2976,0.01,0.2,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2880,0.012,0.25,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
1,2880,0.012,0.3,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
1,2976,0.008,0.15,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.008,0.2,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.01,0.15,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.01,0.2,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.008,0.15,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.008,0.2,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.01,0.15,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.01,0.2,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.008,0.15,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.008,0.2,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.01,0.15,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.01,0.2,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.008,0.15,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2976,0.008,0.2,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2976,0.01,0.15,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2976,0.01,0.2,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2880,0.012,0.25,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
1,2880,0.012,0.3,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
