vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,stop_mult,trail_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,20,200,1.8,1.4,0.8,2.0,3.0,1,39,12,27,30.769,0.860314
0.85,20,200,1.8,1.4,0.8,2.0,3.0,2,35,10,25,28.571,0.844889
0.85,20,200,1.8,1.4,0.8,2.0,4.0,1,39,12,27,30.769,0.860314
0.85,20,200,1.8,1.4,0.8,2.0,4.0,2,35,10,25,28.571,0.844889
0.85,20,200,1.8,1.4,0.8,2.5,3.0,1,38,12,26,31.579,0.850022
0.85,20,200,1.8,1.4,0.8,2.5,3.0,2,33,10,23,30.303,0.853641
0.85,20,200,1.8,1.4,0.8,2.5,4.0,1,38,12,26,31.579,0.850022
0.85,20,200,1.8,1.4,0.8,2.5,4.0,2,33,10,23,30.303,0.853641
0.85,20,200,1.8,1.4,1.0,2.0,3.0,1,38,12,26,31.579,0.847839
0.85,20,200,1.8,1.4,1.0,2.0,3.0,2,34,10,24,29.412,0.844691
0.85,20,200,1.8,1.4,1.0,2.0,4.0,1,38,12,26,31.579,0.847839
0.85,20,200,1.8,1.4,1.0,2.0,4.0,2,34,10,24,29.412,0.844691
0.85,20,200,1.8,1.4,1.0,2.5,3.0,1,37,12,25,32.432,0.837696
0.85,20,200,1.8,1.4,1.0,2.5,3.0,2,32,11,21,34.375,0.868068
0.85,20,200,1.8,1.4,1.0,2.5,4.0,1,37,12,25,32.432,0.837696
0.85,20,200,1.8,1.4,1.0,2.5,4.0,2,32,11,21,34.375,0.868068
0.85,20,200,1.8,1.6,0.8,2.0,3.0,1,38,12,26,31.579,0.867046
0.85,20,200,1.8,1.6,0.8,2.0,3.0,2,34,10,24,29.412,0.851501
0.85,20,200,1.8,1.6,0.8,2.0,4.0,1,38,12,26,31.579,0.867046
0.85,20,200,1.8,1.6,0.8,2.0,4.0,2,34,10,24,29.412,0.851501
0.85,20,200,1.8,1.6,0.8,2.5,3.0,1,37,12,25,32.432,0.85931
0.85,20,200,1.8,1.6,0.8,2.5,3.0,2,33,10,23,30.303,0.852871
0.85,20,200,1.8,1.6,0.8,2.5,4.0,1,37,12,25,32.432,0.85931
0.85,20,200,1.8,1.6,0.8,2.5,4.0,2,33,10,23,30.303,0.852871
0.85,20,200,1.8,1.6,1.0,2.0,3.0,1,37,12,25,32.432,0.854473
0.85,20,200,1.8,1.6,1.0,2.0,3.0,2,33,10,23,30.303,0.851301
0.85,20,200,1.8,1.6,1.0,2.0,4.0,1,37,12,25,32.432,0.854473
0.85,20,200,1.8,1.6,1.0,2.0,4.0,2,33,10,23,30.303,0.851301
0.85,20,200,1.8,1.6,1.0,2.5,3.0,1,36,12,24,33.333,0.84685
0.85,20,200,1.8,1.6,1.0,2.5,3.0,2,32,10,22,31.25,0.852671
0.85,20,200,1.8,1.6,1.0,2.5,4.0,1,36,12,24,33.333,0.84685
0.85,20,200,1.8,1.6,1.0,2.5,4.0,2,32,10,22,31.25,0.852671
0.85,20,200,2.0,1.4,0.8,2.0,3.0,1,31,14,17,45.161,0.926466
0.85,20,200,2.0,1.4,0.8,2.0,3.0,2,29,13,16,44.828,0.937043
0.85,20,200,2.0,1.4,0.8,2.0,4.0,1,31,14,17,45.161,0.928667
0.85,20,200,2.0,1.4,0.8,2.0,4.0,2,29,13,16,44.828,0.939269
0.85,20,200,2.0,1.4,0.8,2.5,3.0,1,30,12,18,40.0,0.924609
0.85,20,200,2.0,1.4,0.8,2.5,3.0,2,28,11,17,39.286,0.935165
0.85,20,200,2.0,1.4,0.8,2.5,4.0,1,30,12,18,40.0,0.926806
0.85,20,200,2.0,1.4,0.8,2.5,4.0,2,28,11,17,39.286,0.937387
0.85,20,200,2.0,1.4,1.0,2.0,3.0,1,31,14,17,45.161,0.921029
0.85,20,200,2.0,1.4,1.0,2.0,3.0,2,29,13,16,44.828,0.934224
0.85,20,200,2.0,1.4,1.0,2.0,4.0,1,31,14,17,45.161,0.923218
0.85,20,200,2.0,1.4,1.0,2.0,4.0,2,29,13,16,44.828,0.936444
0.85,20,200,2.0,1.4,1.0,2.5,3.0,1,30,12,18,40.0,0.919184
0.85,20,200,2.0,1.4,1.0,2.5,3.0,2,28,11,17,39.286,0.932352
0.85,20,200,2.0,1.4,1.0,2.5,4.0,1,30,12,18,40.0,0.921368
0.85,20,200,2.0,1.4,1.0,2.5,4.0,2,28,11,17,39.286,0.934567
0.85,20,200,2.0,1.6,0.8,2.0,3.0,1,31,14,17,45.161,0.939742
0.85,20,200,2.0,1.6,0.8,2.0,3.0,2,29,13,16,44.828,0.95047
0.85,20,200,2.0,1.6,0.8,2.0,4.0,1,31,14,17,45.161,0.941975
0.85,20,200,2.0,1.6,0.8,2.0,4.0,2,29,13,16,44.828,0.952729
0.85,20,200,2.0,1.6,0.8,2.5,3.0,1,30,12,18,40.0,0.937859
0.85,20,200,2.0,1.6,0.8,2.5,3.0,2,28,11,17,39.286,0.948565
0.85,20,200,2.0,1.6,0.8,2.5,4.0,1,30,12,18,40.0,0.940087
0.85,20,200,2.0,1.6,0.8,2.5,4.0,2,28,11,17,39.286,0.950819
0.85,20,200,2.0,1.6,1.0,2.0,3.0,1,31,14,17,45.161,0.934227
0.85,20,200,2.0,1.6,1.0,2.0,3.0,2,29,13,16,44.828,0.947611
0.85,20,200,2.0,1.6,1.0,2.0,4.0,1,31,14,17,45.161,0.936447
0.85,20,200,2.0,1.6,1.0,2.0,4.0,2,29,13,16,44.828,0.949863
0.85,20,200,2.0,1.6,1.0,2.5,3.0,1,30,12,18,40.0,0.932355
0.85,20,200,2.0,1.6,1.0,2.5,3.0,2,28,11,17,39.286,0.945712
0.85,20,200,2.0,1.6,1.0,2.5,4.0,1,30,12,18,40.0,0.934571
0.85,20,200,2.0,1.6,1.0,2.5,4.0,2,28,11,17,39.286,0.947959
0.9,20,200,1.8,1.4,0.8,2.0,3.0,1,36,11,25,30.556,0.863241
0.9,20,200,1.8,1.4,0.8,2.0,3.0,2,32,9,23,28.125,0.847764
0.9,20,200,1.8,1.4,0.8,2.0,4.0,1,36,11,25,30.556,0.863241
0.9,20,200,1.8,1.4,0.8,2.0,4.0,2,32,9,23,28.125,0.847764
0.9,20,200,1.8,1.4,0.8,2.5,3.0,1,35,11,24,31.429,0.852914
0.9,20,200,1.8,1.4,0.8,2.5,3.0,2,30,9,21,30.0,0.856545
0.9,20,200,1.8,1.4,0.8,2.5,4.0,1,35,11,24,31.429,0.852914
0.9,20,200,1.8,1.4,0.8,2.5,4.0,2,30,9,21,30.0,0.856545
0.9,20,200,1.8,1.4,1.0,2.0,3.0,1,35,11,24,31.429,0.850723
0.9,20,200,1.8,1.4,1.0,2.0,3.0,2,31,9,22,29.032,0.847565
0.9,20,200,1.8,1.4,1.0,2.0,4.0,1,35,11,24,31.429,0.850723
0.9,20,200,1.8,1.4,1.0,2.0,4.0,2,31,9,22,29.032,0.847565
0.9,20,200,1.8,1.4,1.0,2.5,3.0,1,34,11,23,32.353,0.840547
0.9,20,200,1.8,1.4,1.0,2.5,3.0,2,29,10,19,34.483,0.871022
0.9,20,200,1.8,1.4,1.0,2.5,4.0,1,34,11,23,32.353,0.840547
0.9,20,200,1.8,1.4,1.0,2.5,4.0,2,29,10,19,34.483,0.871022
0.9,20,200,1.8,1.6,0.8,2.0,3.0,1,35,11,24,31.429,0.869996
0.9,20,200,1.8,1.6,0.8,2.0,3.0,2,31,9,22,29.032,0.854398
0.9,20,200,1.8,1.6,0.8,2.0,4.0,1,35,11,24,31.429,0.869996
0.9,20,200,1.8,1.6,0.8,2.0,4.0,2,31,9,22,29.032,0.854398
0.9,20,200,1.8,1.6,0.8,2.5,3.0,1,34,11,23,32.353,0.862234
0.9,20,200,1.8,1.6,0.8,2.5,3.0,2,30,9,21,30.0,0.855773
0.9,20,200,1.8,1.6,0.8,2.5,4.0,1,34,11,23,32.353,0.862234
0.9,20,200,1.8,1.6,0.8,2.5,4.0,2,30,9,21,30.0,0.855773
0.9,20,200,1.8,1.6,1.0,2.0,3.0,1,34,11,23,32.353,0.857381
0.9,20,200,1.8,1.6,1.0,2.0,3.0,2,30,9,21,30.0,0.854198
0.9,20,200,1.8,1.6,1.0,2.0,4.0,1,34,11,23,32.353,0.857381
0.9,20,200,1.8,1.6,1.0,2.0,4.0,2,30,9,21,30.0,0.854198
0.9,20,200,1.8,1.6,1.0,2.5,3.0,1,33,11,22,33.333,0.849731
0.9,20,200,1.8,1.6,1.0,2.5,3.0,2,29,9,20,31.034,0.855572
0.9,20,200,1.8,1.6,1.0,2.5,4.0,1,33,11,22,33.333,0.849731
0.9,20,200,1.8,1.6,1.0,2.5,4.0,2,29,9,20,31.034,0.855572
0.9,20,200,2.0,1.4,0.8,2.0,3.0,1,29,13,16,44.828,0.930174
0.9,20,200,2.0,1.4,0.8,2.0,3.0,2,27,12,15,44.444,0.940793
0.9,20,200,2.0,1.4,0.8,2.0,4.0,1,29,13,16,44.828,0.932385
0.9,20,200,2.0,1.4,0.8,2.0,4.0,2,27,12,15,44.444,0.943029
0.9,20,200,2.0,1.4,0.8,2.5,3.0,1,28,11,17,39.286,0.92831
0.9,20,200,2.0,1.4,0.8,2.5,3.0,2,26,10,16,38.462,0.938908
0.9,20,200,2.0,1.4,0.8,2.5,4.0,1,28,11,17,39.286,0.930516
0.9,20,200,2.0,1.4,0.8,2.5,4.0,2,26,10,16,38.462,0.941139
0.9,20,200,2.0,1.4,1.0,2.0,3.0,1,29,13,16,44.828,0.924716
0.9,20,200,2.0,1.4,1.0,2.0,3.0,2,27,12,15,44.444,0.937963
0.9,20,200,2.0,1.4,1.0,2.0,4.0,1,29,13,16,44.828,0.926913
0.9,20,200,2.0,1.4,1.0,2.0,4.0,2,27,12,15,44.444,0.940192
0.9,20,200,2.0,1.4,1.0,2.5,3.0,1,28,11,17,39.286,0.922863
0.9,20,200,2.0,1.4,1.0,2.5,3.0,2,26,10,16,38.462,0.936084
0.9,20,200,2.0,1.4,1.0,2.5,4.0,1,28,11,17,39.286,0.925056
0.9,20,200,2.0,1.4,1.0,2.5,4.0,2,26,10,16,38.462,0.938308
0.9,20,200,2.0,1.6,0.8,2.0,3.0,1,29,13,16,44.828,0.943504
0.9,20,200,2.0,1.6,0.8,2.0,3.0,2,27,12,15,44.444,0.954275
0.9,20,200,2.0,1.6,0.8,2.0,4.0,1,29,13,16,44.828,0.945745
0.9,20,200,2.0,1.6,0.8,2.0,4.0,2,27,12,15,44.444,0.956542
0.9,20,200,2.0,1.6,0.8,2.5,3.0,1,28,11,17,39.286,0.941613
0.9,20,200,2.0,1.6,0.8,2.5,3.0,2,26,10,16,38.462,0.952362
0.9,20,200,2.0,1.6,0.8,2.5,4.0,1,28,11,17,39.286,0.94385
0.9,20,200,2.0,1.6,0.8,2.5,4.0,2,26,10,16,38.462,0.954625
0.9,20,200,2.0,1.6,1.0,2.0,3.0,1,29,13,16,44.828,0.937967
0.9,20,200,2.0,1.6,1.0,2.0,3.0,2,27,12,15,44.444,0.951404
0.9,20,200,2.0,1.6,1.0,2.0,4.0,1,29,13,16,44.828,0.940196
0.9,20,200,2.0,1.6,1.0,2.0,4.0,2,27,12,15,44.444,0.953665
0.9,20,200,2.0,1.6,1.0,2.5,3.0,1,28,11,17,39.286,0.936087
0.9,20,200,2.0,1.6,1.0,2.5,3.0,2,26,10,16,38.462,0.949498
0.9,20,200,2.0,1.6,1.0,2.5,4.0,1,28,11,17,39.286,0.938312
0.9,20,200,2.0,1.6,1.0,2.5,4.0,2,26,10,16,38.462,0.951754
