EMA_SLOW,VOL_X,RUNNER_ATR,TR_TRL,TR_TRL_RUN,BE_LOCK,CH_MULT,COOLDOWN,trades,wins,losses,win_rate_pct,equity_multiple
200,0.85,1.2,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.85,1.2,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.85,1.6,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.85,1.6,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.9,1.2,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.9,1.2,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.9,1.6,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.9,1.6,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.991033
200,0.85,1.2,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.85,1.2,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.85,1.6,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.85,1.6,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.9,1.2,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.9,1.2,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.9,1.6,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.9,1.6,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.98857
200,0.85,1.2,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.85,1.2,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.85,1.6,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.85,1.6,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.9,1.2,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.9,1.2,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.9,1.6,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.9,1.6,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.988106
200,0.85,1.2,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.85,1.2,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.85,1.6,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.85,1.6,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.9,1.2,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.9,1.2,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.9,1.6,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.9,1.6,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.98565
200,0.85,1.2,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.85,1.2,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.85,1.6,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.85,1.6,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.9,1.2,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.9,1.2,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.9,1.6,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.9,1.6,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.982257
200,0.85,1.2,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.85,1.2,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.85,1.6,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.85,1.6,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.9,1.2,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.9,1.2,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.9,1.6,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.9,1.6,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.979816
200,0.85,1.2,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.85,1.2,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.85,1.6,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.85,1.6,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.9,1.2,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.9,1.2,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.9,1.6,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.979356
200,0.9,1.6,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.979356
100,0.85,1.2,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.85,1.2,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.85,1.6,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.85,1.6,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.9,1.2,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.9,1.2,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.9,1.6,1.7,3.0,1.0,3.8,6,6,1,5,16.67,0.977616
100,0.9,1.6,1.7,3.5,1.0,3.8,6,6,1,5,16.67,0.977616
200,0.85,1.2,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.85,1.2,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.85,1.6,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.85,1.6,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.9,1.2,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.9,1.2,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.9,1.6,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.976922
200,0.9,1.6,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.976922
100,0.85,1.2,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.85,1.2,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.85,1.6,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.85,1.6,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.9,1.2,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.9,1.2,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.9,1.6,1.7,3.0,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.9,1.6,1.7,3.5,0.7,3.8,6,6,1,5,16.67,0.976507
100,0.85,1.2,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.85,1.2,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.85,1.6,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.85,1.6,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.9,1.2,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.9,1.2,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.9,1.6,1.7,3.0,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.9,1.6,1.7,3.5,1.0,3.0,6,6,1,5,16.67,0.975186
100,0.85,1.2,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.85,1.2,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.85,1.6,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.85,1.6,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.9,1.2,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.9,1.2,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.9,1.6,2.0,3.0,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.9,1.6,2.0,3.5,1.0,3.8,6,6,1,5,16.67,0.974728
100,0.85,1.2,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.85,1.2,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.85,1.6,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.85,1.6,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.9,1.2,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.9,1.2,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.9,1.6,1.7,3.0,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.9,1.6,1.7,3.5,0.7,3.0,6,6,1,5,16.67,0.97408
100,0.85,1.2,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.85,1.2,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.85,1.6,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.85,1.6,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.9,1.2,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.9,1.2,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.9,1.6,2.0,3.0,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.9,1.6,2.0,3.5,0.7,3.8,6,6,1,5,16.67,0.973623
100,0.85,1.2,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.85,1.2,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.85,1.6,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.85,1.6,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.9,1.2,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.9,1.2,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.9,1.6,2.0,3.0,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.9,1.6,2.0,3.5,1.0,3.0,6,6,1,5,16.67,0.972306
100,0.85,1.2,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.85,1.2,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.85,1.6,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.85,1.6,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.9,1.2,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.9,1.2,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.9,1.6,2.0,3.0,0.7,3.0,6,6,1,5,16.67,0.971203
100,0.9,1.6,2.0,3.5,0.7,3.0,6,6,1,5,16.67,0.971203
